Year,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Sweden,Switzerland,United Kingdom,United States,Comparable Country Average
1980,74.6,72.6,73.3,75.3,74.3,72.9,76.1,75.9,75.9,75.7,73.2,73.7,74.5
1981,74.9,72.9,73.7,75.5,74.5,73.2,76.5,76,76.2,75.9,73.8,74.1,74.8
1982,74.7,73.1,74,75.6,74.8,73.5,76.9,76.1,76.5,76.2,74.1,74.5,75
1983,75.5,73.1,74,75.9,74.8,73.8,77,76.3,76.7,76.2,74.3,74.6,75.2
1984,75.8,73.7,74.5,76.2,75.3,74.3,77.4,76.4,77,76.9,74.5,74.7,75.6
1985,75.6,73.9,74.6,76.3,75.4,74.9,77.6,76.5,76.8,77,74.7,74.7,75.8
1986,76.1,74.4,74.8,76.5,75.7,75.1,78.1,76.4,77.1,77.1,74.8,74.7,76
1987,76.3,74.9,75.5,76.6,76.3,75.6,78.5,76.9,77.3,77.5,75.2,74.9,76.4
1988,76.3,75.3,75.7,76.8,76.6,75.8,78.4,77.1,77.1,77.5,75.3,74.9,76.5
1989,76.5,75.4,75.7,77,76.7,75.9,78.8,76.9,77.8,77.7,75.4,75.1,76.7
1990,77,75.7,76.1,77.2,77,77.2,78.9,77,77.7,77.5,75.7,75.3,77
1991,77.4,75.7,76.3,77.5,77.2,75.5,79.1,77.2,77.9,77.8,75.9,75.5,77
1992,77.5,75.9,76.5,77.7,77.5,76,79.2,77.4,78.2,78.1,76.3,75.7,77.3
1993,78,76.2,76.5,77.8,77.6,76.1,79.4,77.1,78.2,78.4,76.2,75.5,77.4
1994,78,76.5,76.8,77.9,78,76.4,79.8,77.5,78.9,78.6,76.8,75.7,77.7
1995,77.9,76.8,77,77.9,78.1,76.6,79.6,77.6,79,78.7,76.7,75.7,77.8
1996,78.2,77,77.3,78.1,78.3,76.9,80.3,77.6,79.2,79.1,76.9,76.1,78.1
1997,78.5,77.4,77.5,78.3,78.6,77.3,80.5,78,79.4,79.3,77.2,76.5,78.4
1998,78.7,77.8,77.6,78.5,78.8,77.7,80.6,78,79.5,79.6,77.3,76.7,78.6
1999,79,78,77.7,78.7,78.9,77.9,80.5,77.9,79.6,79.8,77.5,76.7,78.7
2000,79.3,78.2,77.8,79,79.2,78.2,81.2,78.2,79.7,79.9,77.9,76.7,79
2001,79.7,78.7,78.1,79.2,79.3,78.5,81.5,78.3,79.9,80.4,78.2,76.9,79.3
2002,80,78.8,78.2,79.4,79.4,78.5,81.8,78.4,79.9,80.6,78.3,77,79.4
2003,80.3,78.7,78.2,79.6,79.3,78.6,81.8,78.7,80.3,80.6,78.4,77.1,79.5
2004,80.6,79.3,79,79.8,80.3,79.2,82.1,79.2,80.6,81.2,79,77.6,80
2005,80.9,79.4,79.1,80,80.4,79.4,82,79.5,80.7,81.4,79.2,77.6,80.2
2006,81.1,80,79.5,80.3,81,79.8,82.4,79.9,81,81.7,79.5,77.8,80.6
2007,81.4,80.3,79.9,80.4,81.2,80.1,82.6,80.3,81.1,82,79.7,78.1,80.8
2008,81.5,80.5,79.8,80.6,81.4,80.2,82.7,80.5,81.3,82.2,79.8,78.1,81
2009,81.6,80.4,80.1,80.8,81.5,80.3,83,80.8,81.5,82.3,80.4,78.5,81.2
2010,81.8,80.7,80.3,81.1,81.8,80.5,82.9,81,81.6,82.6,80.6,78.6,81.4
2011,82,81.1,80.7,81.3,82.3,80.5,82.7,81.3,81.9,82.8,81,78.7,81.6
2012,82.1,81,80.5,81.5,82.1,80.6,83.2,81.2,81.8,82.8,81,78.8,81.6
2013,82.2,81.2,80.7,81.7,82.3,80.6,83.4,81.4,82,82.9,81.1,78.8,81.8
2014,82.4,81.6,81.4,81.8,82.8,81.2,83.7,81.8,82.3,83.3,81.4,78.9,82.2
2015,82.5,81.3,81.1,81.9,82.4,80.7,83.9,81.6,82.3,83,81,78.7,82
2016,82.5,81.7,81.5,82,82.7,81.1,84.1,81.6,82.4,83.7,81.2,78.7,82.2
2017,82.6,81.7,81.6,82,82.7,81.1,84.2,81.8,82.5,83.6,81.3,78.6,82.3
2018,82.8,81.8,81.7,82,82.8,81,84.3,81.9,82.6,83.8,81.3,78.7,82.4
2019,83,82,82.1,82.1,82.9,81.4,84.4,82.2,83.2,84,81.3,78.9,82.6
2020,83,81.3,80.9,81.7,82.3,81.1,84.4,81.5,82.5,83.2,80.7,77.3,82.1
